code,name,opening_balance
100010,"Kasa (010)",
101010,"ALINAN ÇEKLER (010)",
102010,"Banka (010)",
108010,"DİĞER HAZIR DEĞERLER (010)",
110010,"HİSSE SENETLERİ (010)",
120000,"ALICILAR",
121010,"ALACAK SENETLERİ (010)",
126010,"VERİLEN DEPOZİTO VE TEMİNATLAR (010)",
153010,"TİCARİ MALLAR (010)",
153996,"TİCARİ MALLAR (996)",
159010,"VERİLEN SİPARİŞ AVANSLARI (010)",
180010,"GELECEK AYLARA AİT GİDERLER (010)",
180011,"GELECEK AYLARA AİT GİDERLER (011)",
180996,"GELECEK AYLARA AİT GİDERLER (996)",
190010,"DEVREDEN KATMA DEĞER VERGİSİ (KDV) (010)",
191010,"İNDİRİLECEK KATMA DEĞER VERGİSİ (KDV) (010)",
191011,"İNDİRİLECEK KATMA DEĞER VERGİSİ (KDV) (011)",
191012,"İNDİRİLECEK KATMA DEĞER VERGİSİ (KDV) (012)",
191021,"İNDİRİLECEK KATMA DEĞER VERGİSİ (KDV) (021)",
191029,"İNDİRİLECEK KATMA DEĞER VERGİSİ (KDV) (029)",
193010,"PEŞİN ÖDENEN VERGİLER VE FONLAR (010)",
250010,"ARAZİ VE ARSALAR (010)",
250996,"ARAZİ VE ARSALAR (996)",
252010,"BİNALAR (010)",
252996,"BİNALAR (996)",
254010,"TAŞITLAR (010)",
254996,"TAŞITLAR (996)",
255010,"DEMİRBAŞLAR (010)",
255996,"DEMİRBAŞLAR (996)",
257010,"BİRİKMİŞ AMORTİSMANLAR (-) (010)",
257996,"BİRİKMİŞ AMORTİSMANLAR (-) (996)",
300010,"BANKA KREDİLERİ (010)",
320000,"SATICILAR",
321010,"BORÇ SENETLERİ (010)",
329010,"DİĞER TİCARİ BORÇLAR (010)",
331010,"ORTAKLARA BORÇLAR (010)",
335010,"PERSONELE BORÇLAR (010)",
340010,"ALINAN SİPARİŞ AVANSLARI (010)",
360010,"ÖDENECEK VERGİ VE FONLAR (010)",
360020,"ÖDENECEK VERGİ VE FONLAR (020)",
360040,"ÖDENECEK VERGİ VE FONLAR (040)",
361010,"ÖDENECEK SOSYAL GÜVENLİK KESİNTİLERİ (010)",
368010,"VADESİ GEÇMİŞ ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ VERGİ VE DİĞER YÜKÜMLÜLÜKLER (010)",
370010,"DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI (010)",
371010,"DÖNEM KÂRININ PEŞİN ÖDENEN VERGİ VE DİĞER YÜKÜMLÜLÜKLERİ (-) (010)",
391010,"HESAPLANAN KDV (010)",
391011,"HESAPLANAN KDV (011)",
391012,"HESAPLANAN KDV (012)",
391200,"HESAPLANAN KDV (200)",
500010,"SERMAYE (010)",
501010,"ÖDENMEMİŞ SERMAYE (-) (010)",
502996,"Hesap 502996",
570012,"GEÇMİŞ YILLAR KÂRLARI (012)",
580010,"GEÇMİŞ YILLAR ZARARLARI (-) (010)",
580020,"GEÇMİŞ YILLAR ZARARLARI (-) (020)",
580996,"GEÇMİŞ YILLAR ZARARLARI (-) (996)",
590010,"DÖNEM NET KÂRI (010)",
591010,"DÖNEM NET ZARARI (-) (010)",
600010,"YURTİÇİ SATIŞLAR (010)",
